Marker,Cell_Type,Cell_Type2,Subset_Type,Subset_Type2,Paper,Notes
HEMGN,Erythrocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9065680/,"deteced in t-cells, basophils, and MK-cells"
MALAT1,Erythrocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9065680/,no information found
HBA1,Erythrocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9065680/,detected in neutrophils and dendritic cells 
HBA2,Erythrocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9065680/,"detected in neutrophils, dendritic cells, and eosinphils "
FTL,Erythrocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9065680/,"detected in neutrophils and monocytes, but also in all"
GYPC,Erythrocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9065680/,detected mostly in t-cells but in all 
B3GAT1,NK,,,,https://onlinelibrary.wiley.com/doi/full/10.1111/cas.15932,detected in t-cells 
KIR3DL1,NK,T_cell,,,https://onlinelibrary.wiley.com/doi/full/10.1111/cas.15932,detected in t-cells 
KLRC1,NK,,,,https://onlinelibrary.wiley.com/doi/full/10.1111/cas.15932,detected in NK-cells and t-cells 
IL2RB,NK,T_cell,,,https://onlinelibrary.wiley.com/doi/full/10.1111/cas.15932,detected in NK-cells and t-cells 
CCL3,NK,,,,https://onlinelibrary.wiley.com/doi/full/10.1111/cas.15932,"detected in t-cells, neutrophils, eosinophils, and b-cells"
CD160,NK,T_cell,,CD8,https://onlinelibrary.wiley.com/doi/full/10.1111/cas.15932,detected in t-cells and NK-cells 
CTSW,NK,T_cell,,CD8,,
CD28,T_cell,,naïve,,,detected in t-cells
PTGS2,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,detected in neutrophils 
ATP2B1,Monocyte,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8970681/,detected in all 
